ObjectEn,ObjectFr,SizeInMeter,URL
Planck Length,Distance de Planck,1.6e-35,https://www.phys.unsw.edu.au/einsteinlight/jw/module6_Planck.htm
Attometer,Attomètre,1.0e-18,https://en.wikipedia.org/wiki/International_System_of_Units
Neutron,Neutron,1.0e-15,https://en.wikipedia.org/wiki/Neutron
Proton,Proton,8.4e-16,https://www.nature.com/articles/d41586-019-03432-4
Lead 208 Atom Nucleus,Noyaux d'un atome de plomb 208,6.34e-15,https://www.sciencedirect.com/topics/physics-and-astronomy/lead-isotopes
1 Picometer (pm),1 Picomètre (pm),1.0e-12,https://en.wikipedia.org/wiki/International_System_of_Units
Electron,Electron,2.8e-15,https://journals.aps.org/pr/abstract/10.1103/PhysRev.14.20
Hydrogen atom Diameter,Diamètre d'un atome d'hydrogene,1.06e-10,https://en.wikipedia.org/wiki/Bohr_radius
Water Molecule (H₂O),Molécule d'eau (H₂O),2.82e-10,https://yourhomewaterfilters.com/how-small-is-a-water-molecule/
Caesium atom Diameter,Diamètre d'un atome de cesium,2.6e-10,https://en.wikipedia.org/wiki/Caesium
Average Amino Acid size,Taille moyene d'un acide aminé,3.4e-10,http://book.bionumbers.org/how-big-are-biochemical-nuts-and-bolts/
1 Nanometer (1nm),1 Nanomètre (nm),1.00e-09,https://en.wikipedia.org/wiki/International_System_of_Units
Covid-19 Virus,Virus Covid-19,1.05e-08,https://www.news-medical.net/health/The-Size-of-SARS-CoV-2-Compared-to-Other-Things.aspx
1 Micron (μm),1 Micron (μm),0.000001,https://en.wikipedia.org/wiki/International_System_of_Units
Amoeba,Amibe,0.00000300,https://en.wikipedia.org/wiki/Amoeba
Blod Cell Diameter,Diamètre d'une cellule rouge,0.0000070,https://en.wikipedia.org/wiki/Red_blood_cell
Grain of icing sugar,Grain de sucre en poudre,2.40e-05,https://en.wikipedia.org/wiki/Sucrose
Human air width,Diamètre d'un cheveux,0.00007,https://www.bench.com/setting-the-benchmark/how-big-is-a-micron
Typographic Point or dot,Point typogaphique,0.0003530,https://en.wikipedia.org/wiki/Point_(typography)
Grain of sand,Grain de sable,0.000415,https://en.wikipedia.org/wiki/Grain_size
Grain of table sugar,Grain de sucre de table,0.0005,https://en.wikipedia.org/wiki/Sucrose
1 Millimeter (mm),1 Millimètre (mm),0.001,https://en.wikipedia.org/wiki/International_System_of_Units
1 Centimeter (cm),1 Centimètre (cm),0.01,https://en.wikipedia.org/wiki/International_System_of_Units
Raisin,Raisin,0.01,https://en.wikipedia.org/wiki/Raisin
Marble Diameter,Le diamètre d'une bille,0.015,https://www.marblecollecting.com/
Canadian 10 Cent,10 Cent Canadien,0.018030000000000001,https://www.saskatooncoinclub.ca/articles/02a_coin_specs.html
Canadian 5 Cent,5 Cent Canadien,0.0212,https://www.saskatooncoinclub.ca/articles/02a_coin_specs.html
Canadian 25 Cent,25 Cent Canadien,0.023879999999999998,https://www.saskatooncoinclub.ca/articles/02a_coin_specs.html
